S. No.,First Name,Surname,Country,Specialism,Batting ,Bowling style,BASE(RS - L),POINTS,,Star Player
95,Tom,Curran,England,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,150,35,Oversesas,No
96,Deepak,Chahar,India,BOWLER,RHB,RIGHT ARM Fast Medium,150,38,Indian,No
97,Mohammad,Shami,India,BOWLER,RHB,RIGHT ARM Fast,200,40,Indian,No
,,,,,,,,,,
99,James,Neesham,New Zealand,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,150,33,Oversesas,No
100,Pardeep,Sahu,India,BOWLER,RHB,RIGHT ARM Leg Spin,20,27,Indian,No
101,Piyush,Chawla,India,BOWLER,LHB,RIGHT ARM Leg Spin,100,33,Indian,No
102,Manan,Vohra,India,BATSMAN,RHB,-,20,28,Indian,No
103,Umran,Malik,India,BOWLER,RHB,Right-arm-fast,200,41,Indian,No
,,,,,,,,,,
105,Rassie,Van Der Dussen,South Africa,BATSMAN,RHB,RIGHT ARM Off Spin,100,30,Oversesas,No
106,Devdutt,Padikkal,India,BATSMAN,LHB,RIGHT ARM Off Spin,200,36,Indian,No
107,Jason,Roy,England,BATSMAN,RHB,-,200,39,Oversesas,No
108,Sherfane,Rutherford,West Indies,ALL-ROUNDER,LHB,RIGHT ARM Medium,100,34,Oversesas,No
109,Nitish,Rana,India,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,100,38,Indian,No
110,N.,Jagadeesan,India,WICKETKEEPER,RHB,-,100,34,Indian,No
111,Karn,Sharma,India,BOWLER,LHB,RIGHT ARM Leg Spin,50,31,Indian,No
112,Suryakumar,Yadav,India,BATSMAN,RHB,-,300,47,Indian,Yes
,,,,,,,,,,
114,Jasprit,Bumrah,India,BOWLER,RHB,Right-arm fast,300,46,Indian,Yes
115,Abdul,Samad,India,BATSMAN,RHB,-,50,28,Indian,No
116,Jayant,Yadav,India,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,100,37,Indian,No
117,Kedar,Jadhav,India,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,100,37,Indian,No
118,Colin,Munro,New Zealand,ALL-ROUNDER,LHB,RIGHT ARM Medium,150,34,Oversesas,No
119,Devon,Conway,New Zealand,BATSMAN,LHB,RIGHT ARM Medium,100,40,Oversesas,No
120,Trent,Boult,New Zealand,BOWLER,RHB,LEFT ARM Fast Medium,200,46,Oversesas,Yes
121,Najibullah,Zadran,Afghanistan,BATSMAN,LHB,RIGHT ARM Off Spin,50,30,Oversesas,No
122,David,Warner,Australia,BATSMAN,LHB,-,200,45,Oversesas,Yes
123,Mahendra Singh,Dhoni,India,WICKETKEEPER,RHB,-,400,46,Indian,Yes
124,Adil,Rashid,England,BOWLER,RHB,RIGHT ARM Leg Spin,150,37,Oversesas,No
125,Dawid,Malan,England,BATSMAN,LHB,RIGHT ARM Leg Spin,150,32,Oversesas,No
126,Ruturaj,Gaikwad,India,BATSMAN,RHB,-,100,46,Indian,Yes
127,Ankit Singh,Rajpoot,India,BOWLER,RHB,RIGHT ARM Fast Medium,20,25,Indian,No
,,,,,,,,,,
129,Sanju,Samson,India,WICKETKEEPER,RHB,-,300,46,Indian,Yes
130,Heinrich,Klaasen,South Africa,WICKETKEEPER,RHB,-,50,30,Oversesas,No
,,,,,,,,,,
132,Tushar,Deshpande,India,BOWLER,LHB,RIGHT ARM Fast,20,26,Indian,No
133,Manoj,Tiwary,India,BATSMAN,RHB,RIGHT ARM Leg Spin,50,29,Indian,No
134,Jofra,Archer,England,ALL-ROUNDER,RHB,RIGHT ARM Fast,250,45,Oversesas,Yes
135,Faf,Du Plessis,South Africa,BATSMAN,RHB,RIGHT ARM Leg Spin,250,44,Oversesas,No
136,Mohammad,Nabi,Afghanistan,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,100,36,Oversesas,No
137,Moises,Henriques,Australia,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,100,35,Oversesas,No
138,Syed Khaleel,Ahmed,India,BOWLER,RHB,LEFT ARM Fast,50,27,Indian,No
139,Shimron,Hetmyer,West Indies,BATSMAN,LHB,RIGHT ARM Leg Spin,200,40,Oversesas,No
,,,,,,,,,,
141,Shahrukh,Khan,India,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,150,36,Indian,No
142,Kagiso,Rabada,South Africa,BOWLER,LHB,RIGHT ARM Fast,300,45,Oversesas,Yes
143,Kusal,Perera,Sri Lanka,WICKETKEEPER,LHB,-,50,34,Oversesas,No
144,Marcus,Stoinis,Australia,ALL-ROUNDER,RHB,Right-arm medium,250,45,Oversesas,Yes
145,Tom,Latham,New Zealand,wiCKETKEEPER,LHB,-,100,35,Oversesas,No
146,Kuldeep,Yadav,India,BOWLER,LHB,LEFT ARM Slow Unorthodox,150,37,Indian,No
147,Murugan,Ashwin,India,BOWLER,RHB,RIGHT ARM Leg Spin,20,26,Indian,No
148,Karun,Nair,India,BATSMAN,RHB,RIGHT ARM Off Spin,50,30,Indian,No
